season,FlightDate,analysis_period,Origin,DepTimeBlk,flights,avg_risk_score,risk_score_sum,actual_disruption_rate,actual_delay15_rate,actual_cancellation_rate,recommendation,avg_risk_score_pct,actual_disruption_rate_pct,actual_delay15_rate_pct,actual_cancellation_rate_pct
2025-2026,2025-12-27,Christmas Week,DEN,2100-2159,43,0.6620006539191838,28.466028118524907,0.5581395348837209,0.5348837209302325,0.023255813953488372,Extra on-call coverage,66.20006539191839,55.81395348837209,53.48837209302325,2.3255813953488373
2025-2026,2025-12-27,Christmas Week,MIA,2100-2159,36,0.6618167391596802,23.825402609748487,0.5277777777777778,0.4722222222222222,0.05555555555555555,Extra on-call coverage,66.18167391596802,52.77777777777778,47.22222222222222,5.555555555555555
2025-2026,2025-12-27,Christmas Week,MCO,1800-1859,32,0.6613223966422371,21.162316692551588,0.875,0.875,0.0,Extra on-call coverage,66.13223966422372,87.5,87.5,0.0
2025-2026,2025-12-27,Christmas Week,PHX,2000-2059,28,0.6608996933336561,18.50519141334237,0.25,0.25,0.0,Extra on-call coverage,66.0899693333656,25.0,25.0,0.0
2025-2026,2025-12-27,Christmas Week,PHX,2100-2159,35,0.6607330111677268,23.125655390870435,0.42857142857142855,0.42857142857142855,0.0,Extra on-call coverage,66.07330111677268,42.857142857142854,42.857142857142854,0.0
2025-2026,2025-12-28,Christmas Week,DFW,1900-1959,56,0.6606468394356738,36.996223008397735,0.6071428571428571,0.6071428571428571,0.0,Extra on-call coverage,66.06468394356739,60.71428571428571,60.71428571428571,0.0
2025-2026,2025-12-27,Christmas Week,IAH,2000-2059,31,0.660530673997266,20.476450893915246,0.3548387096774194,0.3548387096774194,0.0,Extra on-call coverage,66.0530673997266,35.483870967741936,35.483870967741936,0.0
2025-2026,2025-12-27,Christmas Week,DFW,1800-1859,62,0.6603240938665004,40.940093819723025,0.4032258064516129,0.3870967741935484,0.0,Extra on-call coverage,66.03240938665003,40.32258064516129,38.70967741935484,0.0
2025-2026,2025-12-28,Christmas Week,MCO,1900-1959,34,0.6601544286356499,22.445250573612096,0.6764705882352942,0.6470588235294118,0.029411764705882353,Extra on-call coverage,66.01544286356499,67.64705882352942,64.70588235294117,2.941176470588235
2025-2026,2025-12-28,Christmas Week,PHX,2000-2059,35,0.6591937187835064,23.071780157422726,0.5142857142857142,0.45714285714285713,0.05714285714285714,Extra on-call coverage,65.91937187835065,51.42857142857142,45.714285714285715,5.714285714285714
2025-2026,2025-12-27,Christmas Week,DEN,1900-1959,83,0.6591892518640423,54.71270790471551,0.4819277108433735,0.4819277108433735,0.0,Extra on-call coverage,65.91892518640424,48.19277108433735,48.19277108433735,0.0
2025-2026,2025-12-28,Christmas Week,DEN,1800-1859,46,0.6587188365440454,30.30106648102609,0.5217391304347826,0.5,0.021739130434782608,Extra on-call coverage,65.87188365440454,52.17391304347826,50.0,2.1739130434782608
2025-2026,2025-12-28,Christmas Week,DFW,2100-2159,52,0.6586568865371197,34.250158099930225,0.46153846153846156,0.4423076923076923,0.019230769230769232,Extra on-call coverage,65.86568865371197,46.15384615384615,44.230769230769226,1.9230769230769231
2025-2026,2025-12-28,Christmas Week,MCO,1800-1859,32,0.6583710285309463,21.067872912990282,0.8125,0.8125,0.0,Extra on-call coverage,65.83710285309463,81.25,81.25,0.0
2025-2026,2025-12-21,Christmas Week,MCO,2100-2159,25,0.6579523576766135,16.44880894191534,0.32,0.28,0.04,Extra on-call coverage,65.79523576766135,32.0,28.000000000000004,4.0
2025-2026,2025-12-21,Christmas Week,MCO,2000-2059,33,0.6579133848061994,21.71114169860458,0.2727272727272727,0.2727272727272727,0.0,Extra on-call coverage,65.79133848061994,27.27272727272727,27.27272727272727,0.0
2025-2026,2025-12-28,Christmas Week,DFW,2200-2259,43,0.6569803851949774,28.250156563384028,0.6511627906976745,0.627906976744186,0.023255813953488372,Extra on-call coverage,65.69803851949774,65.11627906976744,62.7906976744186,2.3255813953488373
2025-2026,2025-12-28,Christmas Week,MIA,2100-2159,34,0.6564090992976381,22.317909376119697,0.47058823529411764,0.38235294117647056,0.08823529411764706,Extra on-call coverage,65.64090992976381,47.05882352941176,38.23529411764706,8.823529411764707
2025-2026,2025-12-27,Christmas Week,DEN,1800-1859,33,0.6556278971740602,21.635720606743988,0.3333333333333333,0.3333333333333333,0.0,Extra on-call coverage,65.56278971740602,33.33333333333333,33.33333333333333,0.0
2025-2026,2025-12-28,Christmas Week,PHX,2100-2159,36,0.6555886245970168,23.601190485492605,0.5277777777777778,0.5277777777777778,0.0,Extra on-call coverage,65.55886245970169,52.77777777777778,52.77777777777778,0.0
2025-2026,2025-12-28,Christmas Week,MIA,1900-1959,33,0.6554577737606441,21.630106534101255,0.5151515151515151,0.48484848484848486,0.030303030303030304,Extra on-call coverage,65.54577737606441,51.515151515151516,48.484848484848484,3.0303030303030303
2025-2026,2025-12-28,Christmas Week,LAS,1800-1859,25,0.6553278850399313,16.383197125998283,0.44,0.44,0.0,Extra on-call coverage,65.53278850399313,44.0,44.0,0.0
2025-2026,2025-12-27,Christmas Week,PHX,1900-1959,26,0.6552615067548413,17.036799175625873,0.5384615384615384,0.4230769230769231,0.07692307692307693,Extra on-call coverage,65.52615067548413,53.84615384615385,42.30769230769231,7.6923076923076925
2025-2026,2025-12-26,Christmas Week,DFW,2000-2059,52,0.6550578061043585,34.06300591742664,0.3269230769230769,0.3076923076923077,0.0,Extra on-call coverage,65.50578061043585,32.69230769230769,30.76923076923077,0.0
2025-2026,2026-01-03,New Year's Week,FLL,2000-2059,33,0.6545707001280773,21.60083310422655,0.7575757575757576,0.6666666666666666,0.09090909090909091,Extra on-call coverage,65.45707001280773,75.75757575757575,66.66666666666666,9.090909090909092
2025-2026,2025-12-27,Christmas Week,ATL,2000-2059,47,0.6536855692391956,30.723221754242196,0.48936170212765956,0.46808510638297873,0.02127659574468085,Extra on-call coverage,65.36855692391956,48.93617021276596,46.808510638297875,2.127659574468085
2025-2026,2025-12-28,Christmas Week,DEN,2100-2159,34,0.6535853536559291,22.22190202430159,0.4411764705882353,0.4117647058823529,0.029411764705882353,Extra on-call coverage,65.3585353655929,44.11764705882353,41.17647058823529,2.941176470588235
